id,dish,grams,kcal,prot,fat,carb,eaten_at,deleted,created_at,updated_at,eaten_day,imageurl,mailid,ingridients,description,sugar,fiber,sodium,glycemicindex,saturatedfat,vitamins,minerals,healthbenefits,healthconcerns,overallhealthscore,recommendedintakedescr,packageinfo,targetlanguage,originalresult,issafeforuser,allergenid,allergenname,messageallergen,recommendedintakemaxfrequency,portionsize,quantity,quantityeaten,totalmultiplier,basegrams,preparationmethod,addon_sauce,addon_sugar,addon_oil,addon_cream,addon_cheese,addon_nuts,webhook_data,scan_id,scan_timestamp,scan_date
11,Salami and Cheese Sandwiches,100.00,520.00,23.00,32.00,36.00,,false,2025-05-31 13:07:33.975323+00,2025-05-31 13:07:33.975323+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748696798123.jpg?alt=media&token=7bc50e8e-450c-4f3c-b65d-d3b676497998,2025052708443239565@nutrichecker.top,"[{""name"": ""rye bread""}, {""name"": ""salami""}, {""name"": ""cheddar cheese""}, {""name"": ""butter""}]",Two open-faced sandwiches with salami and cheese on rye bread,3.00,7.00,1.00,45,15.50,"[""B vitamins"", ""D"", ""A""]","[""Calcium"", ""Iron"", ""Phosphorus""]","[[""Good source of protein""]]","[""High in saturated fat"", ""High in sodium""]",55,"Due to high fat and sodium content, best consumed in moderation.",,ru,,true,,,,1-2 times per week,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748696826005,,
12,Black Coffee,100.00,4.00,0.30,0.00,0.00,,false,2025-05-31 13:08:17.733658+00,2025-05-31 13:08:17.733658+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748696865784.jpg?alt=media&token=33495b73-fd8c-44b1-89ab-8eef11517571,2025052708443239565@nutrichecker.top,"[{""name"": ""water""}, {""name"": ""coffee grounds""}]",Regular cup of black coffee,0.00,,0.01,,0.00,[],"[""Potassium"", ""Magnesium""]","[[""Contains antioxidants""]]","[""Can cause jitters or sleep disturbances in sensitive individuals or when consumed in excess""]",85,"Can be consumed daily as part of a balanced diet, preferably without added sugar or excessive milk/cream.",,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748696882875,,
13,Black Tea,100.00,2.00,0.00,0.00,0.00,,false,2025-05-31 13:09:06.250209+00,2025-05-31 13:09:06.250209+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748696916443.jpg?alt=media&token=b99d09f7-6cc8-4d6b-afb3-86eb1ea5d52f,2025052708443239565@nutrichecker.top,"[{""name"": ""water""}, {""name"": ""black tea leaves""}]",A mug of black tea with a tea bag,0.00,,0.01,,0.00,[],"[""Fluoride"", ""Manganese""]","[[""Hydrating""]]","[""Caffeine content might affect sleep or cause jitters in sensitive individuals""]",90,Can be consumed daily as a hydrating beverage.,,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748696934843,,
14,Castell Green Olives,25.00,65.00,0.50,6.80,1.80,,false,2025-05-31 13:10:03.854364+00,2025-05-31 13:10:03.854364+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748696962247.jpg?alt=media&token=448637ff-3b34-454a-9d1b-bdf11732f246,2025052708443239565@nutrichecker.top,"[{""name"": ""green olives""}, {""name"": ""water""}, {""name"": ""salt""}]","Full package of green olives, drained weight",0.00,1.40,1.17,15,3.60,"[""E"", ""A""]","[""Iron"", ""Copper"", ""Calcium""]","[[""Good source of healthy monounsaturated fats""]]","[""High sodium content""]",60,"Consume in moderation due to high sodium content, especially for individuals monitoring sodium intake.",,ru,,true,,,,2-3 times per week,regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1748696981949,,
15,Peach,100.00,68.00,1.60,0.40,17.40,,false,2025-05-31 14:12:44.723015+00,2025-05-31 14:12:44.723015+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748700678406.jpg?alt=media&token=9e70f29c-c5d2-4ee3-9ced-a18c28fd3712,2025052813545040996@nutrichecker.top,"[{""name"": ""peach""}]",Single medium-sized peach,14.60,2.80,0.00,42,0.00,"[""C"", ""A""]","[""Potassium""]","[[""Good source of Vitamin C and A""]]",[],90,Excellent as a healthy snack or part of a balanced meal,,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748700756223,,
16,Cured Meats on Bread,65.00,488.00,22.10,28.60,26.70,,false,2025-06-01 12:05:47.034624+00,2025-06-01 12:05:47.034624+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748779493662.jpg?alt=media&token=ef730802-4ecd-457b-839c-2ad093a9ffd5,2025052708443239565@nutrichecker.top,"[{""name"": ""bread""}, {""name"": ""salami""}, {""name"": ""coppa (cured pork)""}]",Four pieces of bread topped with a variety of cured meats,1.30,1.30,2.60,55,18.00,"[""B1"", ""B3"", ""B6"", ""B12""]","[""Iron"", ""Zinc"", ""Selenium""]","[[""Good source of protein""]]","[""Very high in saturated fat"", ""Extremely high in sodium"", ""High calorie content for the portion size""]",35,"Should be consumed sparingly and in small amounts as part of a balanced diet, due to its high fat and sodium content. Consider as an occasional treat.",,ru,,true,,,,rarely,regular,1,half,0.650,100,,0,0,0,0,0,0,,food_analysis_1748779517691,,
17,Castell Green Olives,25.00,65.00,0.50,6.80,1.80,,false,2025-06-01 12:06:34.94599+00,2025-06-01 12:06:34.94599+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748696962247.jpg?alt=media&token=448637ff-3b34-454a-9d1b-bdf11732f246,2025052708443239565@nutrichecker.top,"[{""name"": ""green olives""}, {""name"": ""water""}, {""name"": ""salt""}]","Full package of green olives, drained weight",0.00,1.40,1.17,15,3.60,"[""E"", ""A""]","[""Iron"", ""Copper"", ""Calcium""]","[[""Good source of healthy monounsaturated fats""]]","[""High sodium content""]",60,"Consume in moderation due to high sodium content, especially for individuals monitoring sodium intake.",,ru,,true,,,,2-3 times per week,regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1748696981949,,
18,Black Tea,100.00,2.00,0.00,0.00,0.00,,false,2025-06-01 12:06:45.931678+00,2025-06-01 12:06:45.931678+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748696916443.jpg?alt=media&token=b99d09f7-6cc8-4d6b-afb3-86eb1ea5d52f,2025052708443239565@nutrichecker.top,"[{""name"": ""water""}, {""name"": ""black tea leaves""}]",A mug of black tea with a tea bag,0.00,,0.01,,0.00,[],"[""Fluoride"", ""Manganese""]","[[""Hydrating""]]","[""Caffeine content might affect sleep or cause jitters in sensitive individuals""]",90,Can be consumed daily as a hydrating beverage.,,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748696934843,,
19,Espresso Coffee,100.00,3.00,0.20,0.00,0.50,,false,2025-06-01 12:06:59.783098+00,2025-06-01 12:06:59.783098+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748347263117.jpg?alt=media&token=f7855acb-1601-4085-a2cd-c228a08ea874,2025052708443239565@nutrichecker.top,"[{""name"": ""coffee beans""}, {""name"": ""water""}]",Single serving of espresso coffee in a cup,0.00,,0.01,,0.00,"[""Riboflavin (B2)"", ""Niacin (B3)""]","[""Potassium"", ""Magnesium"", ""Manganese""]","[[""Contains antioxidants""]]","[""High caffeine content can cause jitters or sleep disturbances in sensitive individuals"", ""Can cause acidity for some individuals""]",70,"Enjoyed in moderation as part of a balanced lifestyle, typically 1-3 cups per day for most adults.",,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748347282140,,
20,Coffee Latte,100.00,220.00,12.00,10.00,18.00,,false,2025-06-01 13:22:19.665765+00,2025-06-01 13:22:19.665765+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748784106560.jpg?alt=media&token=0a85a45f-323a-4c18-8b84-878082c82196,2025052708443239565@nutrichecker.top,"[{""name"": ""coffee""}, {""name"": ""milk""}]",Large glass of latte,18.00,,0.15,35,6.00,"[""A"", ""D"", ""B12""]","[""Calcium"", ""Phosphorus"", ""Potassium""]","[[""Good source of calcium""]]","[""Moderate saturated fat content if made with whole milk"", ""Sugar content from milk lactose""]",65,"Can be consumed daily as part of a balanced diet, ideally unsweetened and with lower-fat milk options to reduce saturated fat intake.",,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748784127635,,
21,Medialunas and Black Tea,100.00,455.00,8.00,25.00,65.00,,false,2025-06-01 13:24:59.917564+00,2025-06-01 13:24:59.917564+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748784171102.jpg?alt=media&token=c9b1ceb3-d4af-4764-932d-5af4e6fb2cf8,2025052708443239565@nutrichecker.top,"[{""name"": ""wheat flour""}, {""name"": ""butter""}, {""name"": ""sugar""}, {""name"": ""yeast""}, {""name"": ""milk""}, {""name"": ""eggs""}, {""name"": ""salt""}, {""name"": ""water""}, {""name"": ""black tea leaves""}]",Two medialunas (small croissants) and one mug of black tea,20.00,1.50,0.40,75,12.00,[],[],"[[""Provides quick energy""]]","[""High in refined carbohydrates"", ""High sugar content"", ""High in saturated fats""]",40,Best consumed occasionally as a treat due to high sugar and fat content from the pastries.,,ru,,true,,,,occasionally,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748784208140,,
22,Gourmet Sandwich with Potato Wedges and Dipping Sauce,70.00,945.00,21.00,59.50,70.00,,false,2025-06-01 13:51:47.66948+00,2025-06-01 13:51:47.66948+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748785799068.jpg?alt=media&token=0defe6cc-9d49-4656-8c66-2e0d509e7d40,2025052708443239565@nutrichecker.top,"[{""name"": ""bread""}, {""name"": ""cured meat""}, {""name"": ""cheese""}, {""name"": ""lettuce""}, {""name"": ""tomato""}, {""name"": ""mayonnaise-based sauce""}, {""name"": ""potatoes""}, {""name"": ""cooking oil""}, {""name"": ""salt""}]","One large sandwich cut in half, a generous serving of potato wedges, and a small cup of dipping sauce",3.50,7.00,3.00,65,20.00,"[""Vitamin C"", ""Vitamin B6"", ""Folate""]","[""Potassium"", ""Iron"", ""Calcium"", ""Sodium""]","[[""Good source of energy""]]","[""High in calories, fat, and saturated fat"", ""High sodium content"", ""Significant carbohydrate load from bread and fried potatoes""]",45,"This is a substantial meal, best consumed occasionally or as a main meal with careful consideration of other daily intake.",,ru,,true,,,,occasionally,small,1,all,0.700,100,,0,0,0,0,0,0,,food_analysis_1748785824301,,
23,Ciabatta Sandwich Plate with Salad and Chips,75.00,675.00,22.50,52.50,75.00,,false,2025-06-01 13:53:20.951416+00,2025-06-01 13:53:20.951416+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748785934039.jpg?alt=media&token=b350c9ed-e178-4a32-b502-d055e6258147,2025052708443239565@nutrichecker.top,"[{""name"": ""ciabatta bread""}, {""name"": ""prosciutto or ham""}, {""name"": ""cheese""}, {""name"": ""creamy spread (e.g., cream cheese or aioli)""}, {""name"": ""lettuce""}, {""name"": ""cherry tomatoes""}, {""name"": ""sesame seeds""}, {""name"": ""potatoes""}, {""name"": ""vegetable oil""}, {""name"": ""salt""}, {""name"": ""mayonnaise or aioli (for dip)""}]","One ciabatta sandwich, a small side salad, and a small portion of potato chips with dip.",6.00,7.50,2.50,65,20.00,"[""A"", ""C"", ""K"", ""B Complex""]","[""Potassium"", ""Iron"", ""Calcium""]","[[""Provides significant energy""]]","[""High in calories, fat, and saturated fat due to fried chips, cheese, and creamy spread"", ""High sodium content""]",55,"A substantial meal, best consumed in moderation as part of a varied diet. Consider balancing with lighter meals during the day.",,ru,,true,,,,1-2 times per week,regular,1,three_quarters,0.750,100,,0,0,0,0,0,0,,food_analysis_1748785963435,,
24,Сэндвич с индейкой на цельнозерновом хлебе,100.00,400.00,30.00,12.00,40.00,,false,2025-06-02 01:02:39.415497+00,2025-06-02 01:02:39.415497+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748808912493.jpg?alt=media&token=ac465bf3-5ab8-42fc-a720-9972fc8c8ba2,2025053023182565303@nutrichecker.top,"[{""name"": ""цельнозерновой хлеб""}, {""name"": ""нарезанная грудка индейки""}, {""name"": ""салат""}, {""name"": ""помидор""}]","Один целый сэндвич, разрезанный пополам",5.00,5.00,0.80,55,3.00,"[""A"", ""C"", ""B Vitamins""]","[""Iron"", ""Potassium""]","[[""Высокое содержание белка""]]","[""Содержание натрия может варьироваться в зависимости от мясной нарезки""]",80,"Сбалансированное блюдо, подходящее для ежедневного употребления",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748808938604,,
25,Банан,100.00,105.00,1.30,0.40,27.00,,false,2025-06-02 01:05:12.228088+00,2025-06-02 01:05:12.228088+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748826284158.jpg?alt=media&token=1d4c9481-6a02-4ad2-af2b-3860e84bf59d,2025053023182565303@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,14.00,3.10,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium""]","[[""Хороший источник калия""]]","[""Относительно высокое содержание натуральных сахаров, но сбалансировано клетчаткой""]",90,"Отлично подходит для быстрого перекуса, перед тренировкой или как часть завтрака. Может употребляться ежедневно как часть сбалансированной диеты.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748826301012,,
26,Сэндвич с индейкой на цельнозерновом хлебе,50.00,200.00,15.00,6.00,20.00,,false,2025-06-02 01:10:12.9004+00,2025-06-02 01:10:12.9004+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748808912493.jpg?alt=media&token=ac465bf3-5ab8-42fc-a720-9972fc8c8ba2,2025053023182565303@nutrichecker.top,"[{""name"": ""цельнозерновой хлеб""}, {""name"": ""нарезанная грудка индейки""}, {""name"": ""салат""}, {""name"": ""помидор""}]","Один целый сэндвич, разрезанный пополам",2.50,2.50,0.80,55,3.00,"[""A"", ""C"", ""B Vitamins""]","[""Iron"", ""Potassium""]","[[""Высокое содержание белка""]]","[""Содержание натрия может варьироваться в зависимости от мясной нарезки""]",80,"Сбалансированное блюдо, подходящее для ежедневного употребления",,ru,,true,,,,ежедневно,regular,1,half,0.500,100,,0,0,0,0,0,0,,food_analysis_1748808938604,,
27,Банан,100.00,105.00,1.30,0.30,27.00,,false,2025-06-02 01:40:38.080958+00,2025-06-02 01:40:38.080958+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748828408441.jpg?alt=media&token=71fbab37-73ce-454b-8e4a-4747c0841547,2025053023182565303@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,14.00,3.10,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium"", ""Manganese""]","[[""Отличный источник калия""]]","[""Умеренное содержание натурального сахара (для людей, контролирующих потребление сахара)""]",90,"Можно употреблять ежедневно как часть сбалансированного питания, особенно полезно до или после физической активности.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748828426837,,
28,Поджаренный сэндвич с мясной нарезкой,100.00,450.00,25.00,20.00,45.00,,false,2025-06-02 12:02:11.530538+00,2025-06-02 12:02:11.530538+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748863461676.jpg?alt=media&token=9b835624-e8ee-4fcf-ad48-8ddafac52cb3,2025053023182565303@nutrichecker.top,"[{""name"": ""поджаренный хлеб""}, {""name"": ""салат""}, {""name"": ""помидор""}, {""name"": ""красный лук""}, {""name"": ""мясная нарезка (например, ветчина или индейка)""}]",Две половинки сэндвича на тарелке,6.00,5.00,1.10,55,7.00,"[""A"", ""C"", ""K"", ""B vitamins""]","[""Potassium"", ""Iron"", ""Calcium""]","[[""Хороший источник белка""]]","[""Может быть с высоким содержанием натрия из-за мясной нарезки"", ""Содержание жира может варьироваться в зависимости от мяса и намазок""]",70,Может быть хорошим выбором для еды; рассмотрите более постные виды мясной нарезки и цельнозерновой хлеб для максимальной пользы для здоровья.,,ru,,true,,,,3-4 раза в неделю,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748863483047,,
29,Банан,100.00,105.00,1.30,0.30,27.00,,false,2025-06-02 13:13:26.620643+00,2025-06-02 13:13:26.620643+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748869976099.jpg?alt=media&token=6cd5f468-cf0f-4a39-82de-dc2be899d6d3,2025053023182565303@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,14.00,3.10,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium""]","[[""Хороший источник калия""]]","[""Относительно высокое содержание натуральных сахаров, но сбалансированное клетчаткой""]",90,"Отлично подходит для быстрого перекуса или в составе завтрака, подходит для ежедневного употребления.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748869994165,,
